Date,Price,Open,High,Low,Vol.,Change %
12/31/2020,80.62,80.37,80.62,80.37,0.92K,+0.25%
12/30/2020,80.42,80.36,80.43,80.22,0.50K,-0.54%
12/29/2020,80.86,81.21,81.21,80.63,4.72K,+0.93%
12/24/2020,80.11,80.34,80.39,79.72,0.50K,-0.37%
12/23/2020,80.4,80.98,81.2,80.31,3.89K,-1.20%
12/22/2020,81.39,80.99,81.42,80.76,1.45K,0.00%
12/21/2020,81.39,81.96,81.98,81.53,2.29K,+0.89%
12/18/2020,80.67,80.47,80.75,80.44,1.57K,+0.71%
12/17/2020,80.11,80.19,80.31,79.82,2.23K,-0.51%
12/16/2020,80.51,80.23,80.75,80.23,2.04K,-0.31%
12/15/2020,80.76,81.64,81.64,80.72,2.15K,-0.66%
12/14/2020,81.31,81.14,81.53,80.77,2.12K,-0.95%
12/11/2020,82.08,82.23,82.39,82.01,0.27K,+0.71%
12/10/2020,81.51,81.71,81.71,81.19,3.71K,+0.84%
12/09/2020,80.83,80.8,80.86,80.37,1.47K,-0.36%
12/08/2020,81.13,81.18,81.33,81.18,1.95K,-0.01%
12/07/2020,81.14,81.53,81.71,81.32,0.95K,+1.06%
12/04/2020,80.29,80.92,80.92,80.09,6.67K,-0.20%
12/03/2020,80.44,80.75,80.75,80.39,1.91K,-0.61%
12/02/2020,80.94,80.98,81.27,80.98,0.83K,+0.44%
12/01/2020,80.58,80.97,81.06,80.97,0.74K,-0.48%
11/30/2020,80.97,81.29,81.29,80.56,2.85K,+0.06%
11/27/2020,80.93,80.62,80.93,80.44,2.55K,+0.19%
11/26/2020,80.77,80.52,80.76,80.52,1.62K,+0.48%
11/25/2020,80.39,80.46,80.73,80.43,3.49K,-0.18%
11/24/2020,80.53,80.86,80.86,80.44,1.55K,-0.24%
11/23/2020,80.72,81.05,81.05,80.22,1.10K,-0.03%
11/20/2020,80.75,81.02,81.02,80.78,3.16K,-0.27%
11/19/2020,80.97,80.98,81.12,80.83,0.53K,+0.54%
11/18/2020,80.54,80.61,80.65,80.36,0.63K,-0.08%
11/17/2020,80.6,81.25,81.25,80.52,4.44K,-0.22%
11/16/2020,80.78,80.73,80.89,80.59,1.67K,+0.02%
11/13/2020,80.76,81.05,81.05,80.67,0.12K,+0.04%
11/12/2020,80.74,80.45,80.8,80.45,0.58K,+0.80%
11/11/2020,80.1,79.54,80.15,79.54,0.63K,-0.12%
11/10/2020,80.19,80.85,80.85,79.82,0.92K,-0.61%
11/09/2020,80.68,80.92,81.59,80.68,2.13K,-0.43%
11/06/2020,81.04,81.41,81.42,81.09,2.14K,-0.44%
11/05/2020,81.39,81.85,82.11,81.38,2.23K,-0.23%
11/04/2020,81.58,81.47,81.64,81.09,0.41K,+1.42%
11/03/2020,80.44,81.01,81.01,80.37,1.00K,-1.09%
11/02/2020,81.32,80.98,81.47,80.98,0.87K,+0.59%
10/30/2020,80.85,81.47,81.47,80.99,0.33K,-0.60%
10/29/2020,81.33,81.36,81.58,81.3,0.29K,+0.13%
10/28/2020,81.23,81.46,81.46,80.95,2.20K,+0.31%
10/27/2020,80.97,80.84,81.04,80.84,1.08K,-0.09%
10/26/2020,81.05,81.18,81.18,80.76,2.81K,+0.24%
10/23/2020,80.86,80.61,80.93,80.46,0.79K,+0.45%
10/22/2020,80.5,80.68,80.68,80.12,0.50K,-0.01%
10/21/2020,80.5,81.27,81.27,80.51,1.24K,-1.22%
10/20/2020,81.5,81.36,81.83,81.18,3.43K,+0.14%
10/19/2020,81.39,81.46,81.73,80.87,0.85K,-0.41%
10/16/2020,81.72,81.89,82.19,81.4,3.18K,+0.03%
10/15/2020,81.69,81.74,81.88,81.48,1.55K,+0.62%
10/14/2020,81.19,81.94,81.94,81.01,0.87K,-0.25%
10/13/2020,81.39,81.22,81.55,80.93,0.59K,+0.70%
10/12/2020,80.82,81.0,81.14,80.48,10.20K,-0.30%
10/09/2020,81.07,81.19,81.68,81.13,2.74K,-0.39%
10/08/2020,81.39,81.28,81.46,81.12,1.04K,+0.09%
10/07/2020,81.32,81.14,81.85,81.14,1.05K,+0.26%
10/06/2020,81.11,80.99,81.18,80.93,4.62K,+0.10%
10/05/2020,81.03,81.53,81.53,80.99,1.23K,-0.14%
10/02/2020,81.14,81.47,81.47,80.84,0.40K,-0.34%
10/01/2020,81.42,81.7,81.89,81.08,0.55K,+0.20%
09/30/2020,81.26,81.83,81.83,81.26,8.51K,-0.56%
09/29/2020,81.72,81.51,81.82,81.51,1.78K,+0.28%
09/28/2020,81.49,81.87,81.87,81.25,0.38K,-0.85%
09/25/2020,82.18,82.02,82.18,81.97,0.33K,-0.09%
09/24/2020,82.25,82.39,82.39,82.29,0.11K,-0.16%
09/23/2020,82.39,82.96,83.0,82.21,1.54K,-0.24%
09/22/2020,82.58,82.24,82.6,82.07,0.70K,+0.25%
09/21/2020,82.38,81.69,82.31,81.69,0.24K,+0.78%
09/18/2020,81.74,81.17,81.64,81.17,0.01K,-0.01%
09/17/2020,81.75,82.14,82.14,81.55,0.58K,-0.73%
09/16/2020,82.35,82.81,83.0,82.25,0.95K,-0.90%
09/15/2020,83.1,83.76,83.76,82.82,0.36K,+0.11%
09/14/2020,83.0,83.35,83.35,82.86,0.22K,-0.52%
09/11/2020,83.43,83.22,83.35,83.22,0.04K,+0.84%
09/10/2020,82.74,82.08,82.78,81.77,0.58K,+1.01%
09/09/2020,81.91,82.01,82.48,82.01,0.19K,+0.07%
09/08/2020,81.86,81.21,81.85,81.21,6.59K,+1.03%
09/07/2020,81.02,80.72,81.14,80.62,0.25K,+0.17%
09/04/2020,80.88,80.54,80.99,80.54,3.35K,+0.03%
09/03/2020,80.86,80.73,80.9,80.51,0.58K,+0.21%
09/02/2020,80.68,80.22,80.69,80.15,5.47K,+1.24%
09/01/2020,79.69,79.7,80.13,79.38,0.67K,-0.24%
08/28/2020,79.89,80.1,80.18,79.86,0.55K,-0.69%
08/27/2020,80.44,80.62,80.9,80.57,5.33K,-0.29%
08/26/2020,80.68,81.01,81.01,80.5,1.74K,-0.56%
08/25/2020,81.13,81.76,81.76,81.03,0.34K,-0.83%
08/24/2020,81.81,81.76,81.97,81.6,1.81K,+0.23%
08/21/2020,81.62,81.08,81.76,81.08,0.33K,+0.47%
08/20/2020,81.24,81.51,81.54,81.27,0.17K,+0.01%
08/19/2020,81.22,81.01,81.22,80.96,0.20K,+0.37%
08/18/2020,80.93,81.33,81.33,81.2,0.66K,-0.75%
08/17/2020,81.54,81.65,81.65,81.15,0.94K,+0.22%
08/14/2020,81.36,81.55,81.69,81.22,0.69K,-0.57%
08/13/2020,81.82,82.06,82.11,81.76,0.89K,-0.34%
08/12/2020,82.11,82.11,82.27,81.99,1.07K,+0.19%
08/11/2020,81.95,82.31,82.31,81.83,1.45K,-0.46%
08/10/2020,82.33,82.59,82.85,82.23,2.79K,-0.29%
08/07/2020,82.57,82.03,82.74,82.03,0.27K,+0.28%
08/06/2020,82.34,82.26,82.42,81.79,4.35K,+0.49%
08/05/2020,81.94,82.22,82.29,81.93,0.59K,-0.45%
08/04/2020,82.31,82.13,82.74,82.13,0.36K,+0.26%
08/03/2020,82.1,82.01,82.31,81.9,1.43K,+0.53%
07/31/2020,81.66,81.74,82.03,81.29,0.36K,-0.75%
07/30/2020,82.28,82.77,82.77,82.16,2.17K,-0.26%
07/29/2020,82.5,82.51,82.57,82.29,7.23K,-0.16%
07/28/2020,82.63,83.51,83.51,82.51,0.26K,-0.54%
07/27/2020,83.07,83.21,83.53,82.96,0.28K,-0.35%
07/24/2020,83.37,84.19,84.19,83.21,0.12K,-0.28%
07/23/2020,83.6,83.66,83.96,83.63,0.98K,-0.05%
07/22/2020,83.64,83.84,83.99,83.68,0.17K,+0.22%
07/21/2020,83.46,83.47,83.64,83.32,1.28K,-0.15%
07/20/2020,83.58,84.13,84.13,83.48,1.13K,-0.70%
07/17/2020,84.17,83.99,84.34,83.97,2.29K,+0.66%
07/16/2020,83.61,83.58,83.87,83.58,0.82K,+0.29%
07/15/2020,83.37,83.66,83.67,83.22,6.04K,-0.25%
07/14/2020,83.58,83.29,83.72,83.22,3.87K,+0.69%
07/13/2020,83.01,82.84,83.25,82.83,1.26K,+0.24%
07/10/2020,82.81,83.01,83.15,82.68,0.11K,-0.08%
07/09/2020,82.88,82.75,82.77,82.71,2.74K,-0.19%
07/08/2020,83.04,82.57,83.39,82.57,0.66K,+0.34%
07/07/2020,82.75,83.38,83.38,82.69,1.44K,-0.76%
07/06/2020,83.39,83.73,83.73,83.19,0.84K,+0.02%
07/03/2020,83.37,83.55,83.59,83.36,0.22K,-0.01%
07/02/2020,83.38,83.25,83.5,83.19,0.26K,+0.40%
07/01/2020,83.04,83.64,83.67,82.99,0.54K,-0.76%
06/30/2020,83.68,84.16,84.57,83.74,1.03K,-0.48%
06/29/2020,84.08,83.36,84.22,83.36,3.80K,+0.72%
06/26/2020,83.49,83.1,83.36,83.1,1.85K,+0.69%
06/25/2020,82.92,82.77,82.96,82.77,0.98K,+0.34%
06/24/2020,82.64,82.74,82.74,82.38,0.64K,+0.13%
06/23/2020,82.53,82.56,82.97,82.45,1.76K,-0.51%
06/22/2020,82.95,82.97,83.2,82.97,1.55K,-0.47%
06/19/2020,83.34,82.94,83.36,82.27,0.95K,+0.76%
06/18/2020,82.71,81.78,82.85,81.78,0.99K,+0.78%
06/17/2020,82.07,82.32,82.46,81.99,0.41K,-0.10%
06/16/2020,82.15,82.31,82.57,81.95,2.92K,+0.54%
06/15/2020,81.71,82.26,82.26,81.65,0.90K,-0.06%
06/12/2020,81.76,80.66,81.92,80.66,2.43K,+0.63%
06/11/2020,81.25,81.68,81.68,81.15,0.52K,+0.60%
06/10/2020,80.76,81.16,81.16,80.49,0.59K,+0.19%
06/09/2020,80.61,81.19,81.19,80.75,0.52K,-0.57%
06/08/2020,81.07,81.53,81.53,80.85,1.20K,+0.41%
06/05/2020,80.74,80.89,81.27,80.78,1.33K,-0.63%
06/04/2020,81.25,81.88,81.92,81.03,1.00K,+0.25%
06/03/2020,81.04,81.45,81.45,80.74,1.81K,-0.18%
06/02/2020,81.19,81.77,81.77,80.68,0.85K,-0.04%
06/01/2020,81.22,81.79,81.82,81.29,0.49K,-0.75%
05/29/2020,81.83,81.77,82.13,81.56,4.90K,-0.05%
05/28/2020,81.88,82.54,82.54,81.66,0.63K,-0.35%
05/27/2020,82.17,81.62,82.19,81.62,0.57K,+1.08%
05/26/2020,81.29,80.92,81.82,80.92,1.08K,-0.70%
05/22/2020,81.87,82.2,82.2,81.73,1.38K,+0.11%
05/21/2020,81.78,81.87,81.87,81.51,3.42K,+0.82%
05/20/2020,81.11,81.21,81.21,80.88,2.29K,+0.07%
05/19/2020,81.06,81.46,81.46,80.65,3.88K,+0.06%
05/18/2020,81.01,81.24,81.87,81.24,3.12K,-0.26%
05/15/2020,81.22,80.89,81.44,80.48,2.92K,+1.08%
05/14/2020,80.36,80.52,80.75,80.49,0.48K,+0.01%
05/13/2020,80.35,80.37,80.4,80.03,1.27K,+0.65%
05/12/2020,79.83,79.42,80.23,78.98,10.59K,+0.71%
05/11/2020,79.27,79.22,79.65,78.95,0.76K,-0.54%
05/07/2020,79.7,79.6,80.04,79.6,0.17K,+0.18%
05/06/2020,79.56,80.0,80.0,79.6,0.39K,-0.09%
05/05/2020,79.63,79.84,79.93,79.34,0.90K,-0.39%
05/04/2020,79.93,79.17,80.46,79.17,1.13K,+0.70%
05/01/2020,79.38,79.69,80.2,78.85,1.37K,+0.09%
04/30/2020,79.31,80.83,81.13,79.25,0.39K,-0.79%
04/29/2020,79.94,80.08,80.31,79.65,2.77K,+0.46%
04/28/2020,79.57,79.18,79.94,79.18,0.22K,-0.43%
04/27/2020,79.92,81.15,81.15,79.4,1.08K,-0.42%
04/24/2020,80.25,81.58,81.58,79.64,1.02K,+0.09%
04/23/2020,80.18,80.22,80.45,79.5,0.85K,+0.13%
04/22/2020,80.07,80.19,80.61,80.19,0.34K,-0.22%
04/21/2020,80.25,80.33,80.76,79.73,0.83K,+0.77%
04/20/2020,79.64,79.9,79.9,79.35,0.72K,-0.23%
04/17/2020,79.82,80.02,80.58,80.02,0.54K,-0.21%
04/16/2020,79.99,80.11,80.11,79.17,0.58K,+0.93%
04/15/2020,79.25,79.64,80.25,78.93,0.55K,-0.04%
04/14/2020,79.29,79.71,80.38,78.53,1.33K,-0.83%
04/09/2020,79.95,78.64,81.05,78.52,2.79K,+2.94%
04/08/2020,77.67,78.18,78.18,76.98,1.03K,-0.06%
04/07/2020,77.71,76.93,78.0,76.62,5.73K,+0.33%
04/06/2020,77.46,77.43,77.7,77.43,0.52K,+0.50%
04/03/2020,77.07,76.63,77.79,76.57,1.69K,+0.50%
04/02/2020,76.69,77.49,77.49,76.06,0.48K,-0.16%
04/01/2020,76.82,77.66,77.66,75.66,1.32K,-0.61%
03/31/2020,77.29,77.96,78.96,75.67,8.38K,+0.21%
03/30/2020,77.13,77.26,78.16,76.16,0.84K,+1.61%
03/27/2020,75.91,76.64,78.41,75.98,0.14K,-2.72%
03/26/2020,78.04,79.45,79.97,77.19,5.55K,-1.52%
03/25/2020,79.24,78.7,81.1,75.6,1.45K,+1.09%
03/24/2020,78.39,78.03,79.88,77.33,1.63K,-0.46%
03/23/2020,78.75,73.76,79.68,73.69,24.96K,+4.92%
03/20/2020,75.05,75.08,75.55,72.45,4.19K,-0.16%
03/19/2020,75.17,77.64,78.35,73.49,8.38K,+0.21%
03/18/2020,75.01,74.49,77.2,73.76,2.21K,-1.92%
03/17/2020,76.48,76.9,78.82,75.45,6.59K,+0.41%
03/16/2020,76.17,77.68,79.23,74.99,3.57K,-1.65%
03/13/2020,77.45,75.32,78.26,74.82,0.57K,+1.65%
03/12/2020,76.19,76.18,77.64,74.04,3.16K,-3.40%
03/11/2020,78.87,79.71,79.71,77.91,5.03K,-1.17%
03/10/2020,79.8,80.1,80.25,78.85,1.46K,+0.73%
03/09/2020,79.22,79.65,81.24,78.33,6.45K,-1.89%
03/06/2020,80.75,81.52,81.52,80.43,15.34K,-0.52%
03/05/2020,81.17,81.16,81.38,81.06,8.44K,-0.79%
03/04/2020,81.82,82.25,82.34,81.63,2.23K,+0.02%
03/03/2020,81.8,81.31,81.78,81.16,2.82K,+0.54%
03/02/2020,81.36,81.39,81.57,81.1,3.60K,+0.86%
02/28/2020,80.67,80.11,80.83,79.89,0.47K,+0.70%
02/27/2020,80.11,80.03,80.34,80.01,1.00K,+0.29%
02/26/2020,79.88,79.36,79.86,79.36,1.95K,+0.41%
02/25/2020,79.55,79.83,79.87,79.64,0.69K,-0.57%
02/24/2020,80.01,80.14,80.15,79.92,0.44K,+0.35%
02/21/2020,79.73,80.0,80.0,79.76,1.28K,-0.26%
02/20/2020,79.94,79.91,80.09,79.67,0.34K,+0.65%
02/19/2020,79.42,79.35,79.54,79.28,0.06K,+0.46%
02/18/2020,79.06,79.15,79.15,78.88,0.29K,-0.04%
02/17/2020,79.09,79.04,79.18,78.62,2.19K,+0.14%
02/14/2020,78.98,79.02,79.14,78.86,1.72K,+0.43%
02/13/2020,78.64,79.3,79.3,78.61,0.15K,-0.66%
02/12/2020,79.16,79.32,79.32,79.25,0.02K,-0.48%
02/11/2020,79.54,79.64,79.64,79.56,0.77K,-0.24%
02/10/2020,79.73,80.0,80.0,79.53,1.16K,-0.04%
02/07/2020,79.76,79.61,79.64,79.51,3.22K,+0.40%
02/06/2020,79.44,78.98,79.36,78.98,0.08K,+0.34%
02/05/2020,79.17,79.29,79.31,78.72,0.64K,+0.11%
02/04/2020,79.08,79.84,79.84,79.09,0.33K,-0.44%
02/03/2020,79.43,78.83,79.55,78.73,2.69K,+1.26%
01/31/2020,78.44,78.65,78.72,78.41,21.45K,-0.22%
01/30/2020,78.61,79.34,79.34,78.67,2.33K,-0.64%
01/29/2020,79.12,78.99,79.22,78.93,0.37K,+0.08%
01/28/2020,79.06,79.04,79.11,79.02,0.93K,+0.37%
01/27/2020,78.77,78.8,78.89,78.5,1.96K,+0.22%
01/24/2020,78.6,78.41,78.48,78.33,0.17K,+0.41%
01/23/2020,78.28,78.31,78.39,78.24,0.23K,+0.22%
01/22/2020,78.11,78.57,78.57,78.06,1.18K,-0.57%
01/21/2020,78.56,78.69,78.69,78.3,0.58K,-0.01%
01/20/2020,78.57,78.86,78.86,78.52,2.32K,+0.17%
01/17/2020,78.44,78.06,78.42,78.06,0.25K,+0.29%
01/16/2020,78.21,78.43,78.43,78.28,0.28K,-0.36%
01/15/2020,78.49,78.41,78.67,78.41,1.43K,+0.09%
01/14/2020,78.42,78.55,78.64,78.35,2.02K,-0.08%
01/13/2020,78.48,78.55,78.62,78.4,0.36K,+0.37%
01/10/2020,78.19,78.06,78.07,77.86,7.15K,+0.54%
01/09/2020,77.77,77.61,78.06,77.61,0.69K,+0.05%
01/08/2020,77.73,77.64,77.76,77.59,1.29K,0.00%
01/07/2020,77.73,77.57,77.84,77.53,0.50K,+0.30%
01/06/2020,77.5,78.29,78.29,77.65,0.83K,-0.68%
01/03/2020,78.03,78.18,78.18,78.02,0.88K,+0.58%
01/02/2020,77.58,77.05,77.72,76.94,9.20K,+0.28%
